t,RC,Vin,Vout
0.0,4,1,0.0
0.01001001001001001,4,1,0.00249937601799165
0.02002002002002002,4,1,0.004992504859699006
0.03003003003003003,4,1,0.0074794015537631075
0.04004004004004004,4,1,0.009960083396794793
0.050050050050050046,4,1,0.012434559841428989
0.06006006006006006,4,1,0.014902849044877193
0.07007007007007007,4,1,0.01736496823836203
0.08008008008008008,4,1,0.019820934653106123
0.09009009009009009,4,1,0.022270765520332095
0.10010010010010009,4,1,0.024714476237596743
0.11011011011011011,4,1,0.027152079142246793
0.12012012012012012,4,1,0.029583589437288286
0.13013013013013014,4,1,0.03200902243618192
0.14014014014014015,4,1,0.034428393452388385
0.15015015015015015,4,1,0.03684171778076201
0.16016016016016016,4,1,0.03924901026942229
0.17017017017017017,4,1,0.041650285873733574
0.18018018018018017,4,1,0.044045559697772664
0.19019019019019018,4,1,0.04643484684561638
0.20020020020020018,4,1,0.04881816242134153
0.21021021021021022,4,1,0.051195520517109294
0.22022022022022023,4,1,0.05356693792369374
0.23023023023023023,4,1,0.05593242786025563
0.24024024024024024,4,1,0.058292005348179465
0.2502502502502503,4,1,0.06064568537135453
0.2602602602602603,4,1,0.06299348286957014
0.2702702702702703,4,1,0.06533541239796313
0.2802802802802803,4,1,0.06767148852165968
0.2902902902902903,4,1,0.07000172591895085
0.3003003003003003,4,1,0.07232613921842673
0.3103103103103103,4,1,0.07464474299897646
0.3203203203203203,4,1,0.07695755178978814
0.3303303303303303,4,1,0.07926458007034895
0.34034034034034033,4,1,0.08156584227044505
0.35035035035035034,4,1,0.08386135277016166
0.36036036036036034,4,1,0.08615112589988298
0.37037037037037035,4,1,0.08843517594108562
0.38038038038038036,4,1,0.09071351730873187
0.39039039039039036,4,1,0.09298616438400034
0.40040040040040037,4,1,0.09525313138943785
0.41041041041041043,4,1,0.09751443250507479
0.42042042042042044,4,1,0.09977008186842512
0.43043043043043044,4,1,0.10202009357448646
0.44044044044044045,4,1,0.10426448167574007
0.45045045045045046,4,1,0.10650326018215077
0.46046046046046046,4,1,0.10873644306116699
0.47047047047047047,4,1,0.11096404423772081
0.4804804804804805,4,1,0.11318607759422791
0.4904904904904905,4,1,0.1154025571282151
0.5005005005005005,4,1,0.11761349686079746
0.5105105105105106,4,1,0.11981891063826172
0.5205205205205206,4,1,0.12201881227161318
0.5305305305305306,4,1,0.12421321553660915
0.5405405405405406,4,1,0.12640213417375892
0.5505505505505506,4,1,0.12858558188832386
0.5605605605605606,4,1,0.13076357235031727
0.5705705705705706,4,1,0.13293611919450452
0.5805805805805806,4,1,0.13510323602040294
0.5905905905905906,4,1,0.1372649363922819
0.6006006006006006,4,1,0.13942123385586613
0.6106106106106106,4,1,0.14157214193615536
0.6206206206206206,4,1,0.1437176741035656
0.6306306306306306,4,1,0.14585784379399885
0.6406406406406406,4,1,0.14799266440904538
0.6506506506506506,4,1,0.15012214931598353
0.6606606606606606,4,1,0.1522463118477799
0.6706706706706707,4,1,0.15436516530308936
0.6806806806806807,4,1,0.1564787229462549
0.6906906906906907,4,1,0.15858699800730777
0.7007007007007007,4,1,0.16069000368196734
0.7107107107107107,4,1,0.162787753063633
0.7207207207207207,4,1,0.1648802595086959
0.7307307307307307,4,1,0.16696753599660946
0.7407407407407407,4,1,0.16904959560182367
0.7507507507507507,4,1,0.17112645136471638
0.7607607607607607,4,1,0.17319811629167872
0.7707707707707707,4,1,0.17526460335520042
0.7807807807807807,4,1,0.1773259254939552
0.7907907907907907,4,1,0.17938209561288604
0.8008008008008007,4,1,0.18143312658329055
0.8108108108108109,4,1,0.1834790312429064
0.8208208208208209,4,1,0.18551982240203035
0.8308308308308309,4,1,0.18755551285288066
0.8408408408408409,4,1,0.18958611534519718
0.8508508508508509,4,1,0.19161164259671878
0.8608608608608609,4,1,0.19363210729419478
0.8708708708708709,4,1,0.1956475220936096
0.8808808808808809,4,1,0.19765789962040733
0.8908908908908909,4,1,0.19966325246971645
0.9009009009009009,4,1,0.20166359320581073
0.9109109109109109,4,1,0.20365893434724858
0.9209209209209209,4,1,0.2056492883851938
0.9309309309309309,4,1,0.20763466778419018
0.9409409409409409,4,1,0.20961508497765896
0.950950950950951,4,1,0.21159055236799448
0.960960960960961,4,1,0.2135610823266596
0.970970970970971,4,1,0.21552668719428114
0.980980980980981,4,1,0.21748737928074546
0.990990990990991,4,1,0.219443170862326
1.001001001001001,4,-1,0.2208936426589926
1.011011011011011,4,-1,0.21784217301065495
1.021021021021021,4,-1,0.21479833012576485
1.031031031031031,4,-1,0.2117620949420993
1.0410410410410411,4,-1,0.2087334484451587
1.0510510510510511,4,-1,0.20571237166816855
1.0610610610610611,4,-1,0.20269884569139957
1.0710710710710711,4,-1,0.19969285164240191
1.0810810810810811,4,-1,0.19669437069643858
1.0910910910910911,4,-1,0.19370338407557292
1.1011011011011012,4,-1,0.19071987304816604
1.1111111111111112,4,-1,0.18774381893020323
1.1211211211211212,4,-1,0.18477520308441775
1.1311311311311312,4,-1,0.18181400691919686
1.1411411411411412,4,-1,0.1788602118901405
1.1511511511511512,4,-1,0.17591379949964478
1.1611611611611612,4,-1,0.1729747512947755
1.1711711711711712,4,-1,0.17004304887008564
1.1811811811811812,4,-1,0.16711867386554657
1.1911911911911912,4,-1,0.16420160795322505
1.2012012012012012,4,-1,0.16129183285767773
1.2112112112112112,4,-1,0.1583893303553835
1.2212212212212212,4,-1,0.1554940822687455
1.2312312312312312,4,-1,0.15260607046597074
1.2412412412412412,4,-1,0.14972527686094964
1.2512512512512513,4,-1,0.14685168341313548
